algorithm,execution_time,success,board,N
genetic,1.0027048587799072,False,"[6, 4, 1, 7, 9, 3, 8, 0, 2, 10, 5]",11,100,1000,0.5
genetic,0.3460674285888672,True,"[4, 2, 5, 9, 1, 10, 8, 6, 3, 7, 0]",11,100,1000,0.5
backtracking,0.0013229846954345703,True,"[0, 2, 4, 6, 8, 10, 1, 3, 5, 7, 9]",11
backtracking,0.0010042190551757812,True,"[0, 2, 4, 6, 8, 10, 1, 3, 5, 7, 9]",11
backtracking,0.0013697147369384766,True,"[0, 2, 4, 6, 8, 10, 1, 3, 5, 7, 9]",11
neural_network,9.703733205795288,False,"[3, 1, 10, 0, 7, 7, 7, 9, 10, 8, 3]",11,16,10000
simulated_annealing,0.00399327278137207,"(10.0, 0.01, 0.99, False)","[3, 7, 2, 1, 5, 4, 0, 6]",8
simulated_annealing,0.01877117156982422,"(10.0, 0.01, 0.99, False)","[3, 5, 7, 0, 6, 2, 1, 4]",8
simulated_annealing,0.015018224716186523,"(10.0, 0.01, 0.99, False)","[7, 1, 2, 0, 6, 3, 5, 4]",8
simulated_annealing,0.003989458084106445,"(10.0, 0.01, 0.99, False)","[6, 1, 0, 5, 3, 2, 4, 7]",8
simulated_annealing,0.00576472282409668,"(10.0, 0.01, 0.99, False)","[5, 0, 2, 4, 6, 1, 3, 7]",8
simulated_annealing,0.005347013473510742,"(10.0, 0.01, 0.99, False)","[2, 0, 3, 5, 6, 1, 4, 7]",8
simulated_annealing,0.00621485710144043,"(10.0, 0.01, 0.99, False)","[7, 2, 3, 5, 0, 6, 4, 1]",8
simulated_annealing,0.0060846805572509766,"(10.0, 0.01, 0.99, False)","[4, 1, 2, 3, 5, 0, 6, 7]",8
simulated_annealing,0.0051670074462890625,"(10.0, 0.01, 0.99, False)","[7, 1, 5, 3, 4, 0, 2, 6]",8
simulated_annealing,0.00881052017211914,"(10.0, 0.01, 0.99, False)","[2, 3, 4, 7, 6, 1, 0, 5]",8
simulated_annealing,0.007567405700683594,"(10.0, 0.01, 0.99, False)","[7, 2, 1, 6, 0, 4, 5, 3]",8
simulated_annealing,0.004646778106689453,"(10.0, 0.01, 0.99, False)","[4, 0, 5, 2, 7, 6, 1, 3]",8
simulated_annealing,0.0052716732025146484,"(10.0, 0.01, 0.99, False)","[6, 4, 3, 0, 7, 2, 1, 5]",8
simulated_annealing,0.007943391799926758,"(10.0, 0.01, 0.99, False)","[2, 3, 4, 6, 5, 0, 7, 1]",8
simulated_annealing,0.00743412971496582,"(10.0, 0.01, 0.99, False)","[3, 2, 1, 7, 6, 4, 0, 5]",8
simulated_annealing,0.0053141117095947266,"(10.0, 0.01, 0.99, False)","[0, 1, 5, 7, 3, 4, 2, 6]",8
simulated_annealing,0.005495309829711914,"(10.0, 0.01, 0.99, False)","[6, 3, 4, 5, 0, 1, 2, 7]",8
simulated_annealing,0.005183696746826172,"(10.0, 0.01, 0.99, False)","[3, 4, 0, 1, 6, 2, 5, 7]",8
simulated_annealing,0.0049228668212890625,"(10.0, 0.01, 0.99, False)","[2, 5, 7, 6, 3, 1, 4, 0]",8
simulated_annealing,0.004589557647705078,"(10.0, 0.01, 0.99, False)","[7, 3, 0, 5, 4, 2, 6, 1]",8
simulated_annealing,0.004289865493774414,"(10.0, 0.01, 0.99, False)","[7, 6, 2, 1, 3, 4, 0, 5]",8
simulated_annealing,0.004956960678100586,"(10.0, 0.01, 0.99, False)","[7, 0, 3, 2, 4, 1, 6, 5]",8
simulated_annealing,0.006193399429321289,"(10.0, 0.01, 0.99, False)","[4, 6, 2, 1, 5, 0, 3, 7]",8
simulated_annealing,0.004459857940673828,"(10.0, 0.01, 0.99, False)","[0, 3, 5, 1, 6, 2, 4, 7]",8
simulated_annealing,0.0054051876068115234,"(10.0, 0.01, 0.99, False)","[4, 3, 1, 7, 5, 2, 6, 0]",8
genetic,0.009169340133666992,True,"[2, 4, 7, 3, 0, 6, 1, 5]",8,100,1000,0.5
genetic,0.1319599151611328,True,"[2, 5, 1, 6, 4, 0, 7, 3]",8,100,1000,0.5
genetic,0.022565841674804688,True,"[2, 4, 6, 0, 3, 1, 7, 5]",8,100,1000,0.5
genetic,0.007758378982543945,True,"[4, 2, 7, 3, 6, 0, 5, 1]",8,100,1000,0.5
simulated_annealing,0.004593610763549805,"(10.0, 0.01, 0.99, False)","[1, 3, 0, 4, 7, 5, 6, 2]",8
